Course	Room	Teacher	Time	Students
013172	DAL300	0024092	14:00 - 16:00 T	3121717 3230522 3275705 3322523 3329729 3353145 3374040 3396422 3416073 3420884 3425114 3426858 3433275 3436212 3455294 3456016 3457327 3483155
001878	DAL119	0637692	12:00 - 14:00 F	3121829 3319023 3324844 3341079 3388921
007403	PK338	0031611	19:00 - 21:00 MW	3121829 3122431 3255755 3257543 3291024 3318430 3337249 3337781 3418106 3483560
007404	TAYF	0168763	11:30 - 13:00 MW	3121829 3121847 3122431 3303699
003275	CARP21	0695890	19:00 - 21:00 MW	3121847 3382410 3402266 3416424 3424363 3431226 3437141 3437252 3456290
006045	TH102	0031526	10:00 - 11:30 MW	3122279 3334029 3414467 3423676 3431080 3459888
004010	DAL300	3460456	12:00 - 14:00 TH	3122354 3227014 3412881 3416891 3417314 3418606 3425347 3429832 3432223 3437240 3438232 3440419 3450068 3453472 3456016 3456103 3456313 3457327 3457393 3458295 3458934 3459635 3460134 3460359 3461057 3462290 3462293 3462298 3462964 3462990 3463675 3464100 3464263
004889	PK338	0348369	12:00 - 14:00 TH	3225913 3229363 3256056 3260429 3267997 3276264 3287584 3314339 3319030 3319386 3323367
012737	TH110	3092667	13:00 - 15:30 F	3122354 3227364 3287584 3329686 3404642 3404828 3412881 3413022 3415627 3425364 3429566 3431651 3433251 3439475 3439701 3440508 3446670 3457327
005738	PK243	0031543	14:30 - 16:00 MW	3122450 3236006 3250803 3330293 3339074 3384120 3413774 3430786 3432595 3435722
001896	DAL119	0168763	13:00 - 14:30 MW	3123570 3291024 3301223 3318430 3339156
002564	PK349	1168490	11:30 - 13:00 MW	3124142 3227361 3316953 3339160 3364991 3396313 3411108 3412864 3417055 3420434 3432301 3443453 3455562 3457195 3459888 3463851
005247	CARP21	0493855	13:00 - 14:30 T	3125756 3217598 3316247 3342814 3362442 3397992
003548	PK338	0024092	14:30 - 16:00 MW	3161154 3250498 3270555 3358345 3396036 3402583 3404204 3411018 3414657 3416073 3417273 3417338 3449263
011295	TH102	3312777	11:30 - 13:00 MW	3161154 3223467 3405145
011829	DAL119	1157682	13:00 - 15:30 F	3161154 3223467 3226486 3330300 3406196
012107	TH110	0031619	14:30 - 16:00 MW	3255760 3339061 3339814 3344151 3354445 3381424 3411629 3412549 3415407 3431155 3431158 3463993 3483155
011311	TAYF	3198619	12:00 - 14:00 F	3198918 3217450 3359026 3438550
006036	PK338	3452833	13:00 - 14:30 T	3199633 3223457 3227217 3281059 3300040 3314978 3338564 3418079
006043	PK243	0409737	16:30 - 19:00 F	3199633 3223457 3225245 3300040 3311527 3314978 3337912 3359188 3411646 3413598 3423676
005298	CARP21	3452160	12:00 - 14:00 F	3201565 3336991 3412520 3416658 3424520 3430953 3437295 3437365 3463524
004282	PK243	1165566	18:00 - 20:30 T	3212266 3223467 3226486 3260251 3331222 3338009 3340158 3369591 3416232 3416354 3416598 3438033
005228	PK180	3483426	19:00 - 21:00 MW	3212266 3367107 3416286 3416374 3416891 3421044 3429524 3429602 3453352
001182	EHLEC	0493725	19:00 - 21:00 MW	3217410 3375629
007397	PK338	3474098	13:00 - 15:30 TH	3217450 3221877 3233965 3255755 3271598 3311499 3328955 3337851 3341358 3343615 3357367 3389574 3418907 3438669 3462235
011841	CARP21	0135660	12:00 - 14:00 TH	3217451 3247072 3249454 3319023 3324844 3329727 3339999 3341874 3405144 3417001
007040	PK229	3195964	14:30 - 16:00 MW	3217598 3263732 3310035 3406073 3415489 3417717 3425239 3454433
