Course	Room	Teacher	Time	Students
006029	PK338	0031454	13:00 - 15:30 T	3081951 3089580 3092411 3094263 3095908 3099423 3099745 3105866 3108691 3109227 3110627 3119909 3125856 3125873 3126433 3126731 3150160 3151640 3155346 3155695 3158474 3177165 3177873 3185620 3190685 3191834 3193288 3193776 3203991 3204495 3204644 3205324 3210876 3211360 3213727 3215784 3216898 3216906 3227175 3288377 3306482 3315957 3316614 3322141 3330431
003560	TH110	0031359	19:00 - 21:00 T	1010605 1017457 1049279 1073672 1085466 1092760 1119061 3061460 3064906 3065289 3066711 3073216 3080774 3081927 3152434 3165225 3306653
003500	BYC106	3194193	14:30 - 16:30 T	1012792 1017457 1073316 1109564 3084658 3085407 3087948 3215635 3218335 3254053 3255502 3312113 3322949
001768	PK180	0027799	14:00 - 15:00 MWF	1017457 1073316 1079912 1150110 1157995 1162493 3067585 3076209 3078232 3092012 3095290 3211396
002182	CARP21	0428815	12:00 - 14:00 TH	1017882 3057362 3062766 3070495 3086192
002637	PK243	3393919	13:00 - 15:30 TH	1019072 3084782 3094479 3097521
003447	PK336	0031359	9:00 - 10:00 MWF	1024854 1059663 1070105 1092805 1093772 1135650 1150448 1154715 1157995 1162443 1162792 1163242 3079120 3080539 3082941 3103203 3121199 3122181 3152743 3181938 3216420 3217615 3329187
007920	EHI	0031386	12:00 - 13:00 MWF	1024854 1092805 3090029
011834	EHII	0470839	19:00 - 21:00 T	1024854 1072694 1076479 1079538 1081304 1097508 1115327 1150448 1159860 3063119 3065779 3081503 3084075 3191876 3219428 3306761
003424	EHII	3393009	11:00 - 12:00 MWF	1029713 1059663 1073075 1073428 1088535 1095145 1119061 1157995 1158383 3064819 3070887 3079829 3080539 3085846 3086455 3089115 3145695 3152743 3305222
003492	TH110	1084371	14:00 - 16:00 T	1029835 1059404 1068656 1087771 1093453 1129252 3061759 3064869 3066992 3069352 3099676 3205208 3315789 3322151
001843	EHII	0056992	12:00 - 13:00 MWF	1032290 1073230 1075264 1080980 1091600 1163245 3067214 3068251 3068911 3070045 3088010 3091370 3092151 3093208 3105382 3120137 3208714 3265450 3293645
008447	PK180	0132890	12:00 - 14:00 TH	1032290 3081073 3163183 3217439 3218034 3304723
