Course	Room	Teacher	Time	Students
006026	PK338	0213446	11:00 - 12:00 MWF	747147 775490 802807 814593 827772 828604 847790 853988 873557 910403 911366 913880 914076 919776 920237 956475 958492 963528 965925 966303 967411 986688 988657 998799 1000939 1005082 1005315 1005720 1006899 1007882 1015275 1029210 1037745 1040618 1050781 1057520 1064790 1066007 1067724 1076437 1081006 1084909 1085061
001864	PK229	0031557	12:00 - 14:00 W	747562 833438 861391 861815 907897
008767	PK25	0428728	10:00 - 11:00 MWF	827963 861391 862049 901262 917732 981989 993566 993790 1000750 1001351 1004324 1006105 1010175 1018857 1019940 1024315 1025644 1038303 1056096 1076274 1080149 1080398 1082905
008479	PK243	0031619	9:00 - 10:00 MTWF	803579 858864 860532 861648 862152 871788 903222 967042
006036	DAL204	0031526	14:00 - 16:00 T	748713 802029 813366 817768 834443 851310 857382 896929 899419 907151 910421 915622 945449 948095 1005112 1007134 1007394 1035148
006054	DAL204	0207327	8:00 - 9:00 M-F	748713 786993 828036 829788 831531 834443 835804 847248 853072 855085 857382 859186 897310 899316 916398
001178	TAYD	0827357	14:00 - 16:00 W	748765 901703 911706 1002045
001185	TAYF	0031577	13:00 - 16:00 TH	748765 789284 825478 862176 869484 873557 915579 966299
001838	TH110	0168763	11:30 - 13:00 TTH	748765 752318 771075 779276 781424 831435 832653 848355 850690 854345 867165 906085 914290 914299 914509 945635 965861 987276 988620 992189 1001039 1001196 1001806 1002405 1005971 1006899 1018252 1040868 1066007 1067862 1076437 1077380
007008	PK25	0316015	14:00 - 16:00 W	751495 783208 848750 880639 883488 896287 896979 903229 905351 907493 909216 917040 918074 960068 1000355 1005068 1019674 1056815 1065654 1067483 1073544 1078648
001193	PK25	0706398	10:00 - 11:30 TTH	752553 772504 781527 806882 818349 818599 829796 830141 830197 833438 850690 858034 871681 881793 911366 911941 917702 1016462 1077380
006029	PK338	1167858	10:00 - 11:00 MWF	754161 769557 771732 773692 780528 786916 806189 834495 848492 852109 853174 853970 898872 904506 907151 910421 912781 913466 913989 915622 915648 917334 918009 918064 919283 945449 945584 945959 946010 948390 952008 952783 957333 958186 958492 958879 959189 959304 960037 964596 966094 967988 970193 971315 972660 976318 986262 988625 989432 991769 993169 999826 1000355 1001039 1002045 1002241 1002248 1002405 1005059 1005112 1005971 1007134 1007196 1007394 1008387 1009729 1013197 1016434 1018936 1020150 1025460 1034405 1038671 1047318 1055590 1057535 1065183 1080648
006860	PK243	1167884	18:00 - 19:00 T	754161 886011 904506 957333 958186 989432 991769 1005059 1008387
005734	PK243	0855349	14:00 - 16:00 T	754424 770471 790880 798802 825559 851403 908461 966125
007377	PK336	0031522	19:00 - 22:00 W	754424 787159 822518 849245 865750 899135 902217 905453 906362 906635 950811
007395	PK180	1167859	18:00 - 19:00 T	754424 771075 779966 781139 791975 802256 824872 824983 825102 828467 829872 831800 904706
008763	PK338	1083367	10:00 - 11:30 TTH	755048 784558 803706 807347 832248 860298 904516 911936 966299 984724 1001613 1001894 1002047 1003128 1007134 1011104 1020478 1020727 1027597 1030369 1032769 1037541 1038671 1045379 1049929 1050781 1053105 1055590 1058058 1067377 1067483 1068371 1076437 1078921 1082150 1082907 1083627 1085631
004374	CARP21	0847593	14:00 - 16:00 T	755872 848994
004853	TAYD	0032827	12:00 - 14:00 W	755872 856959 858092
007034	PK243	0031573	11:00 - 12:00 MWF	755872 859231 867165 873190 887130 984724 1017760 1083812
003442	DAL204	0826941	13:00 - 16:00 TH	756275 822518 828705 830276 852456 897911 902217 906035 920248 960497 991213 993566 998885 1044791 1058242
003518	TH224	0915760	18:00 - 19:00 T	756275 783959 807993 830276 833941 865667
006848	TH110	0031347	8:00 - 9:00 M-F	756739 865894 915648 918009 918074 945959 945969 946010 952783 954641 959304 960084 986094 986262 988603 993929 1002045 1002248 1007134 1008925 1013197 1016434 1024283 1038671 1055078 1056738 1057535 1068526 1084187
005740	CARP21	0031392	10:00 - 11:00 MWF	768049 818674
005741	TH224	0855349	9:00 - 10:00 MTWF	768049 778307 781523 806452 868309 903064 920248
001237	TH111	0827357	11:30 - 13:00 TTH	768235 812628 818384
004280	CARP21	0031577	11:30 - 13:00 TTH	1005548
003505	PK229	1063507	12:00 - 14:00 M	768507 806189 850337 854235 858924
001151	PK338	0309967	8:00 - 9:00 M-F	768585 772504 806882 824299 858114 887308 889858 903917 906035 908998 909216 911366 911706 912439 912699 914260 918064 948095 952211 954830 954831 958186 959919 965861 966077 966268 967532 987937 991763 992616 992801 1000750 1002364 1006744 1007554 1007842 1009559 1009729 1010750 1020478 1024213 1025460 1025569 1037541 1039679 1041140 1042335 1057520 1058421 1064780 1064790 1065796 1066309 1067460 1078413 1078680 1079614 1079993 1080149 1081939 1082150 1083626 1086916 1172030
001890	TAYD	0826942	12:00 - 14:00 M	768585 803723 834343 852176
001897	PK229	0056992	19:00 - 21:00 T	768585 803723 809224 828596 831966
003454	TH110	0915760	10:00 - 11:30 TTH	768585 807750 832653 850382 853174 858924 859719 890043 898872 901570 902217 904918 910403 912699 916427 918195 945034 953178 956475 965861 980693 988657 1004997 1007779 1015256 1017760
001213	PK25	0031471	19:00 - 21:30 M	769943 770471 771438 788562 809224 809463 812628 813277 818384 818599 827928 830197 831966 833695 854235 858034 869484 915579 954830
001845	DAL204	0031577	19:00 - 22:00 W	770471 799016 809224 830280 834343 858872 861815 865894 882323 887308 890199 892458 905540 907897 909692 910056 915652 918118 1002036
001763	TAYF	0027799	14:00 - 16:00 W	771438 832928 860257 870197 952594 953178 988544 1017760
004835	PK180	0032827	14:00 - 16:00 M	771732 807750 854345 888075 909240 910403 953178 966303 988355 1003476
001551	PK243	0855533	10:00 - 11:00 MWF	771752 828021 830280 833511 833941 850337 905540 908862 909692 914599
006865	PK336	1167883	9:00 - 10:00 MTWF	772005 822717 824299 829837 830862 834138 843307 860659 886011 909585 948095 952594
