Course	Room	Teacher	Time	Students
009225	TAYF	0029059	13:30 - 16:00 TH	3155201 3221081 3227754 3252374 3330627 3332410
002390	TH110	0316015	14:00 - 15:00 MWF	3165880 3252673 3315767
002429	PK180	0030512	13:00 - 15:00 TH	3188402
005846	TH110	3212821	12:00 - 14:00 TH	3190802 3219783 3228778 3304005 3307321 3332532
006510	PK180	0031621	10:00 - 11:00 MWF	
003407	PK180	3408295	19:00 - 21:30 T	3216670
011862	PK180	3196642	14:30 - 16:00 TTH	3223001 3251957
011863	PK180	3196642	13:00 - 15:30 W	3223001
009296	TH110	1084371	11:30 - 13:00 MW	3223740 3260419 3308669
004825	PK180	1051497	14:30 - 16:00 MW	3238414
