Course	Room	Teacher	Time	Students
012730	PK180	3194193	13:15 - 15:15 TH	3581830 3478309 3581870 3485537 3581851 3462019
006059	PK338	0207327	13:00 - 17:00 TH	3484887 3465103 3482019 3483651 3485228 3467781 3485416 3479718 3486998 3462228 3484990
003034	PK338	3764395	17:30 - 19:00 MW	3485800 3461937 3650636 3480836 3481967 3486617 3480571 3456653 3482263 3486133 3576416
005119	PK338	3400071	16:00 - 18:00 T	3478747 3485848 3483929 3693084 3695024 3612623 3708638 3822535 3463189 3797677 3797752
014970	PK180	3556752	16:00 - 18:00 T	3486858 3555932 3540428 3577682 3797653
006026	PK20	0431634	16:00 - 18:00 M	3481102 3487040 3516442 3578240 3591591 3481203 3483298 3486782 3691925 3460586 3484894 3667821 3559903 3592208 3692294 3455037 3580407 3430298 3630526 3651465 3767997 3822122 3823130 3694810 3574475 3576357 3576398 3576463 3576536 3668829 3668840 3668921 3797710
007006	PK20	0316015	19:00 - 21:45 M	3483278 3493931 3692849 3649880 3606350 3693230 3635012 3652339 3695022 3695345 3816764 3816860 3821016 3820900 3796230 3797673
013183	PK180	3198619	13:15 - 15:15 T	3483278 3493931 3568950 3602816 3557742 3695022
004359	PK338	0847593	16:00 - 17:30 TTH	3496673 3599536 3638301 3694318 3579116 3561026 3492361 3580346 3616872 3638956 3797631
004011	PK20	3646540	14:00 - 17:00 M	3482194 3497993 3540662 3690778 3694433 3694980 3695027 3695529 3608097 3668420 3597215 3817419 3817962 3818480 3819367 3816466 3818686 3485812 3493704
007403	PK20	0031611	12:00 - 14:00 T	3474620 3538202 3539996 3581609 3667319 3480999 3581920 3483587 3543742 3692628 3651816 3480069 3480867 3503587 3549272 3574137 3481894 3485169 3560487 3667676 3544945 3580912 3486180 3576383 3576481 3576568
011206	PK180	0129398	14:00 - 17:00 M	3433962 3465591 3503382 3558963 3668858 3797838
008778	PK180	0031572	14:30 - 15:30 MWF	3693280 3606293 3575971 3483640 3692786 3484990 3668924
014225	PK180	0564741	14:30 - 16:00 F	3485848 3514835 3576020 3689348 3556594
007372	PK20	0603646	13:15 - 15:15 TH	3520100 3524963 3578240 3693433 3581282 3595071 3575969 3692187 3652373 3447478 3606350 3693856 3597215 3431257 3580584 3463587 3458706 3576377 3576431 3576522 3668800 3668821 3669000 3797616 3797881 3910720
011834	PK20	0470839	13:00 - 14:00 TH	3414205 3481520 3481664 3521272 3651033 3652473 3481202 3581952 3465442 3651243 3474409 3468281 3460820 3574639 3580407 3615055 3724014 3789315 3497948 3467932 3559462 3690652 3575581
007043	PK20	3481299	13:00 - 15:30 W	3533264 3559645 3568950 3599536 3691140 3691361 3581846 3465245 3483954 3577054 3578707 3695539 3487623 3606350 3486501 3652339 3650225 3690445 3460338 3690733 3796230 3821729 3576534 3668763 3668771 3668825 3668927 3669033 3797676 3797779
002375	TH110	0132890	11:30 - 13:00 MW	3540190 3651573
005293	PK180	1020104	13:00 - 14:30 W	3466011 3478309 3580671 3465244 3533093 3819232 3560649
012823	TH110	0031632	10:00 - 11:00 MWF	3540662 3581903 3580991 3448314
014990	PK20	3448653	13:00 - 15:30 TH	3480935 3559149 3629467 3693433 3667385 3559464 3595163 3580217 3668420 3557244 3558528 3579092 3610671 3676165 3705083 3716638 3764207 3764422 3768025 3768197 3790244 3790306 3816463 3817487 3818274 3820729 3821269 3792443 3483977 3576552 3666161 3797588 3910744 3910762
008427	PK338	0132890	10:00 - 11:00 MWF	3493931 3559476 3602816 3668366 3691140 3693433 3485537 3518231 3578781 3488858 3580346 3606350 3661465 3730202 3816970 3668845
006029	PK20	0213446	9:45 - 11:15 TTH	3468070 3485848 3486834 3559534 3577485 3577703 3578240 3578252 3580248 3651017 3667273 3691416 3691748 3691981 3694006 3694236 3694428 3694432 3574519 3579864 3581282 3631215 3651499 3693921 3656490 3693612 3695368 3492423 3651243 3648550 3460343 3693789 3629951 3632881 3691575 3693276 3595641 3694039 3492361 3591844 3616918 3629518 3690806 3692771 3693856 3693902 3694289 3694415 3695024 3578842 3632720 3690361 3695554 3693813 3479838 3612203 3687862 3714653 3721962 3764208 3768303 3789055 3789493 3792350 3797331 3817668 3818782 3820030 3820032 3820038 3820257 3820405 3820756 3820774 3820971 3821006 3821886 3584557 3610120 3574349 3577187 3581913 3694903 3695643 3667674 3668754 3668952
007034	PK180	3900086	16:00 - 17:30 TTH	3559645 3576013 3667608 3694791 3581207 3820992
004017	PK338	0031578	13:00 - 14:00 TH	3481607 3559657 3579028 3629467 3598090 3597365 3561402 3652373 3692536 3477004 3683644 3458121
001161	PK180	0031388	13:00 - 17:00 TH	3557478 3560256 3575735 3537536 3639603 3689931
014985	PK338	0135660	16:00 - 18:00 M	3560858 3581830 3484324 3485912 3486632 3537536 3479054 3484898 3580259 3580341 3694828 3576410 3668937
013212	PK180	3648217	12:45 - 14:15 TTH	3574546 3575928 3591774 3655393 3485549 3662757 3797620 3797760 3797791 3797858
001460	PK180	3098022	13:00 - 14:30 F	3574967 3581903 3580991 3485361 3448314
002564	PK180	3792642	19:00 - 22:00 M	3576013 3651499 3482739 3694384 3693902 3695024 3690719 3645471 3910737
004280	PK338	3646542	13:30 - 14:30 W	3576013 3581220 3651439 3467040 3578747 3581918 3451557 3474140 3581962 3579181 3491953 3580217 3576425 3576623 3633806
001179	PK20	3814283	14:30 - 16:30 MW	3483084 3486379 3551641 3576126 3581300 3651033 3469615 3486782 3559963 3558796 3475745 3575971 3579181 3461197 3483085 3580259 3689375 3430527 3471745 3486596 3668863 3668865 3797687
013613	PK20	0492580	13:00 - 14:00 MWF	3577022 3577703 3691416 3691748 3694236 3695027 3578811 3691834 3492423 3574873 3629951 3694426 3581980 3694415 3694780 3578392 3821197 3580114 3484216 3645471 3694431 3576307 3576347 3668806 3669006 3797641 3797699 3797812
004838	PK20	0031373	15:30 - 17:00 F	3465050 3577741 3581907 3692098 3482101 3575969 3597365 3579116 3458441 3579143 3581149 3560193 3579361 3667676 3486653 3577682 3695643 3576303
006854	PK180	3646602	19:00 - 21:00 M	3578252 3579094 3693921 3693902 3690719 3479838 3694903
006867	PK180	3818519	13:00 - 14:30 MW	3579291 3467040 3481202 3483929 3576212 3564528 3458087 3487732 3668814 3668960
001427	PK338	0031632	12:00 - 13:00 MWF	3485054 3574967 3579687 3580991 3666801 3463560 3650736 3668386 3580139 3652177 3693084 3669280 3768972 3820397 3576546 3576623
001444	PK338	0853792	13:30 - 15:30 M	3579687 3582182 3608602 3666175 3483306 3650736 3668386 3448314 3446353 3639603 3695282 3606290 3790492 3576546
004014	PK20	0031578	13:00 - 14:30 F	3579687 3606148 3692187 3460718 3690719 3694668 3699613 3712286 3768034 3768625 3789283 3796254 3818805 3819309 3820970 3584557 3580383
002413	PK20	1051497	8:30 - 10:30 W	3580798 3692766 3651487 3606293 3591436 3598090 3668623 3690346 3560193 3691514 3651585 3483003 3576474 3668849 3668972 3797645 3797692 3797744 3797752 3797856
014998	PK20	1167884	19:00 - 21:45 T	3375410 3581098 3667677 3692807 3580671 3572330 3485416 3694798 3595641 3638956 3695554 3815902 3485053
014999	PK20	0402773	19:00 - 21:00 M	3581098 3667677 3692807 3580671 3572330 3485416 3694798 3595641 3638956 3695554 3818782 3815902 3485053
012295	PK338	0564741	13:15 - 15:15 T	3463439 3581171 3575916 3452445 3581077 3484894 3692187 3480867 3559591 3480401 3668787 3669042
013996	PK180	0125630	14:15 - 15:45 TTH	3455908 3465245 3481967 3486311 3556594
004832	PK338	0053518	19:00 - 21:45 M	3519499 3597302 3619255 3478050 3578781 3581149 3693565 3642332 1084187 3576458 3580383 3668818
008770	PK20	0899465	14:00 - 16:00 TH	3597302 3632103 3652396 3667273 3668366 3691140 3579864 3462514 3516634 3619255 3690043 3691925 3575898 3689402 3460343 3560511 3578714 3693224 3578781 3595163 3596492 3693856 3557244 3578191 3602435 3631042 3652339 3692519 3581274 3668195 3619323 3695285 3579092 3611135 3667654 3676165 3691616 3790792 3796247 3797084 3816549 3818771 3818807 3820885 3496439 3441310
015003	PK338	0431946	13:15 - 15:15 TH	3465050 3597302 3480069 3645720 3619718 3655749 3711406 3820958 1084187 3468749 3797822 3910678
007010	PK338	0162976	12:45 - 14:15 TTH	3599536 3666520 3692849 3693501 3694318 3695529 3570123 3467199 3652273 3631101 3632881 3498772 3692771 3695345 3797084 3576342 3576527
004013	PK20	0031578	16:00 - 17:30 TTH	3581903 3606536 3692849 3694434 3581227 3600785 3560687 3667821 3694798 3471190 3642204 3581663 3695282 3578842 3579361 3642332 3585962 3613455 3630501 3653200 3678350 3693712 3768197 3768339 3818025 3816722 3820900
004274	PK20	0802802	14:00 - 16:00 M	3575908 3632103 3651439 3690778 3694741 3651365 3691962 3695434 3575898 3598090 3576020 3498772 3692786 3678357 3699593 3708638 3712286 3768034 3771747 3788897 3820378 3821059 3456660 3577682 3667674 3789464 3576313 3576532 3576553 3576563 3627845 3648220 3797703 3797719 3797790 3910544 3684090
013204	PK180	3098022	13:30 - 16:00 F	3639772 3652339 3689919 3821004 3910528
014113	PK338	0827051	13:00 - 14:30 MW	3651293 3694741 3581077 3576020 3689920 3716357 3796926 3574349 3648220 3797667 3797690 3797768 3797815 3910534
007881	PK180	0470839	14:00 - 16:00 F	3652473 3580671 3651243 3497948 3559462 3797679 3797764 3797833
007899	TH110	0031386	14:00 - 16:00 T	3667319 3581081 3577146
014103	PK180	0468281	19:00 - 21:45 M	3480810 3479718 3669033 3797710
002562	PK20	1168490	14:00 - 16:00 T	3451724 3519499 3524341 3579291 3579687 3667404 3689845 3483929 3544254 3581918 3559319 3561516 3591436 3693286 3480067 3628726 3479885 3629951 3467093 3694417 3487623 3693230 3574543 3581375 3661465 3585962 3774021 3817048 3819143 3819304 3820257 3821047 3821393 3821554 3821273 3478297 3559462 3690516 3694810 3575581 3576322 3576485 3576504 3576568 3668825 3669045 3797679 3797826 3797880 3815920 3797628
002992	PK20	3818712	19:00 - 22:00 M	3575908 3667677 3691140 3691361 3695373 3575071 3470846 3498974 3467781 3484202 3695542 3652177 3692771 3693084 3694289 3638956 3816960 3817087 3817637 3818029 3818227 3818782 3820030 3820032 3820037 3820405 3820588 3820756 3820963 3820974 3821004 3821044 3821077 3821179 3821359 3821571 3821588 3610120 3821273 3576364 3576391 3668763 3668823 3797590 3797614 3797615 3797690
015014	PK338	0031756	19:00 - 21:00 M	3692766 3716140 3768356 3820745 3581913 3505134 3576506 3797604 3910622
004379	PK180	0989327	13:00 - 15:30 W	3464666 3524341 3815898 3578488 3561026 3789529 3621523
012354	PK180	0492321	10:00 - 12:00 T	3432357 3581786 3797855 3910741
014139	PK180	3555100	12:00 - 14:00 F	3465036 3606418 3693612 3648550 3616872
004393	PK180	0989327	12:00 - 13:00 MW	3465591 3465181 3575483 3619718
003277	PK180	1061861	12:00 - 14:00 M	3476418 3461020 3447478 3485288 3431257 3416424 3463587 3576305 3576377
015002	PK180	0431946	13:00 - 14:00 MW	3486834 3481202 3476085 3581081 3458441 3712913 3559462
001892	TH110	0123161	14:00 - 16:00 M	3481203 3464327 3433686
006573	PK338	0031399	12:00 - 14:00 W	3476899 3815898 3485642 3506324 3461517 3558528 3483327 3542887 3431655 3576331 3576389 3576500 3576542 3669039 3669048 3669051
008484	PK338	3420576	16:00 - 19:00 W	3559645 3575259 3581497 3485774 3561660 3455908 3467452 3464306 3574639 3576395 3576627 3668772
012886	PK180	1084458	15:30 - 17:00 F	3547282 3468281 3560167 3467932 3668848
014971	TH110	3556752	12:00 - 13:00 MWF	3486858 3540428 3797653
014542	PK180	0254151	13:30 - 15:30 M	3451331 3486379 3580991 3538400 3574563 3517604 3576435
007887	PK180	0431946	16:00 - 17:30 MW	3576212 3797770 3692852 3560649 3797631
008784	PK180	0031572	14:00 - 16:00 T	3652473 3692786 3819542 3540428 3668823 3668955
005722	PK20	3648007	14:15 - 15:45 TTH	3668538 3689500 3655428 3695145 3773692 3774021 3789507 3797192 3816708 3819196 3819304 3819542 3819676 3821016 3821162 3822122 3559225 3576430 3669023 3910510 3910580 3910588 3910617 3910646 3910653 3910659 3910698 3910718 3870878 3910590
001549	TH110	3814283	19:00 - 22:00 M	3558739 3691694 3576474 3576482
014627	PK20	3575049	8:00 - 9:00 MWF	3483385 3493931 3694481 3693501 3481562 3474598 3618222 3561402 3518231 3559970 3580346 3560199 3580341 3796964 3822122 3487034 3462458 3582017 3668902 3797666 3797673 3797717
002151	PK20	1167863	19:00 - 21:00 T	3481664 3497993 3539996 3560256 3575928 3578252 3579291 3580211 3629467 3652276 3668196 3671851 3579864 3581918 3489089 3558796 3651487 3651605 3695368 3692796 3693789 3693224 3693253 3559464 3689500 3693902 3694754 3695345 3695543 3667676 3105802 3609553 3611135 3652353 3655428 3687862 3692862 3699567 3710991 3715444 3716638 3721962 3722764 3768339 3768620 3789175 3797331 3816483 3816554 3817427 3818274 3819676 3820588 3821069 3821077 3821197 3821440 3821554 3816722 3821097 3823130 3694012
002160	PK20	0301910	14:30 - 16:00 M	3470393 3475573 3496673 3501476 3538202 3558739 3581038 3581609 3591591 3591774 3606536 3651017 3692440 3694432 3695373 3483298 3581920 3631215 3493748 3649880 3656490 3514964 3690043 3667503 3581232 3648550 3460343 3581081 3650956 3693276 3479311 3579143 3574137 3580217 3591844 3668420 3690806 3481894 3557244 3632720 3689375 3693813 3430298 3610287 3792350 3820380 3481532 3496439 3591211 3694903 3645471 3668882
011321	PK180	0028980	17:30 - 19:00 MW	3484334 3518231 3556594 3796230 3463919 3910539
014981	PK338	0168378	16:00 - 17:30 MW	3484763 3692285 3576792 3579592 3581250 3578910 3690789 3577984 3690482 3694073 3668969
014986	PK338	3194524	15:30 - 17:00 F	3484763 3692285 3576792 3579592 3581250 3578910 3690789 3577984 3690482 3694073 3668969
001547	TH110	1083671	12:45 - 14:15 TTH	3575483 3460343 3576460 3576474
