Course	Room	Teacher	Time	Students
001248	PK278	0135660	16:00 - 18:00 M	3558796 3560256 3651293 3692756 3693473 3599090 3695539 3580586
014785	PK278	3814283	15:00 - 16:30 F	3544262 3558796 3694791 3796237 3668763 4096769 3652177
015837	PK278	3577228	16:30 - 18:00 TH	3558796 3560256 3929165 3821254 3820397
015840	PK278	3577228	10:45 - 12:45 T	3558796 3630526 3692756 3931971 3576990 3797666 3797711
008824	PK278	0031572	11:00 - 12:00 MWF	3559225 3691981 3691962 3693856 3797642
008812	PK278	0576472	12:45 - 14:15 TTH	3559319 3692766 3692786 3561430 3790792 3690204 3693856 3820961 3652350 3797616 3797684 3797719 3797862 4086478 3797665 3692018 3797642
013192	PK20	0428815	14:30 - 16:00 F	3560256 3611135 3629467 3652353 3668196 3817668 3820732 3846717 3930864 3581967
006573	PK278	0031399	12:00 - 13:00 MW	3572330 3692285 3694433 3819676 3797640 3930485
006042	PK20	3818520	13:00 - 15:30 W	3574519 3602816 3629951 3632881 3649880 3651465 3651487 3651499 3667273 3691748 3691981 3692098 3692862 3694432 3695368 3716140 3816483 3817637 3821077 3821179 3824188 3915267 3929979 3574349 3576002 3651243 3693789 3820965 3581375 3774021 3821047 3821439 3710476 3796906 3492361 3789283 3821643 3928890 3492423 3651605 3667464 3691783 3693902 3578392 3768303 3956133 4086346 4170471 3797830 3820963
011310	PK20	0207327	19:00 - 21:00 W	3574519 3667273 3690799 3691981 3692098 3694236 3695368 3695543 3475959 3576002 3651243 3693789 3629518 3691575 3581375 3695285 3821643 3462565 3628726 3492423 3651605 3691783 3578252 3797727 3797740 3691416 3694006 3797830 3797872 3695373
008479	PK20	0031619	13:00 - 14:00 T	3575259 3579092 3668366 3690020 3709927 3821048 3929167 3930721 3689329 3816463 3597215 3691140 3666207 3668130 3790492 3817419 3818771 3668845 3797676 3797720
003275	PK278	1061861	9:00 - 12:30 TH	3578240 3602816 3902439 3931323 3692294 3929810 3903092 3903986 3502364 3797662 3797684 3910506 3910712 3910769 4086484 3576431 3580586
006044	PK20	0554585	12:45 - 14:00 T	3578240 3610120 3692862 3694432 3788990 3817507 3818480 3821077 3903896 3930303 3820965 3579864 3616918 3694428 3710476 3695285 3929679 3694289 3789283 3818773 3667464 3668378 3797628 3797649 3797740 3797871 3929468
006059	PK20	0031526	13:00 - 16:00 TTH	3578240 3581282 3694236 3694417 3694432 3695543 3475959 3574349 3579864 3616918 3629518 3581375 3595641 3492361 3694289 3462565 3492423 3651605 3578252 3797830 3789055
010844	PK278	0409737	19:00 - 21:00 W	3578240 3602816 3818480 3931962 3715155 3822912 3820885 3632720 3956133 3660063 3797705 3910639 3910759 3558739
007377	PK349	0031522	9:00 - 10:00 MWF	3579092 3694712 3728679 3914515 3819598 3915036 4091039 3929419 3678350 3630501 3695539 3724014 3807883 3816970 3908300 3914354 3693185 3788616 3559172 3816181 3929102 3797826 3910630 4086253 4086326 4086398 4086480 3789573 3821766 3823278 3910502 4086312
008420	PK20	0125630	19:00 - 22:00 M	3579092 3709927 3781152 3785953 3929167 3818122 3823387 3913606 3929419 3823755 3915203 3502364 3668845 3910462 3910470 3910483 3902196 3931666 3960504 3987067 3994726 4001999 4090730 4093370 4094796 4095472 3857764
001847	PK20	3483424	14:00 - 16:00 F	3580211 3651487 3666570 3680751 3715444 3817668 3823130 3902439 3906818 3915040 3771823 3821097 3930864 3799593 3863747 3902911 3596713 3816108 3818064 3910738 4096913 4174206
005845	PK20	3212821	12:00 - 14:00 TH	3580671 3930047 4078277 4092771 4093970 4095301 3820380
013164	PK338	3470325	16:00 - 17:30 T	3580671 3816992 3930705 3910550 3910745 4044087
013635	PK278	3555097	10:45 - 12:45 W	3580796 3668538 3821687 3913786 3930102 3823271 3797667 3910463 3910769 3903833 3930216
002367	PK20	0493725	11:30 - 13:00 MW	3580798 3905822 3929800 3910185 3792406 3821632 3839910 3904251 3914750 3822886 3910514 3910691 4086333 4086365 4086374 4086450 3878563 3881459 3901936 3913138 3929739 3969305 3975519 3988063 3995827 4000812 4002166 4002914 4003130 4026411 4044003 4091784 4091899 4092144 4092675 4093165 4093324 4093423 4093806 4094012 4094175 4094815 4095083 3821273 4176079 3768339
001151	PK20	0031388	8:15 - 9:45 TTH	3581265 3651465 3668365 3796007 3797324 3827187 3900952 3903909 3913396 3914968 3915332 3930547 3930608 3930721 3672031 3819367 3699567 3762625 3910937 3929222 3666995 3759337 3816832 3843810 3901722 3913159 3929586 4086270 4096251 4096769 4086513 4091163 4091773 4092767 4093126 4095004 4095424 4095965 4096631 3931064
011294	PK349	0135660	12:00 - 13:00 MWF	3581497 3699567 3823228 3692915 3694668 3910613 3910738 4096913 3662757 3797867 3931064
015115	PK278	0820103	14:15 - 15:45 TTH	3581497 3610287 3693084 3694434 3728679 3816336 3817260 3694384 3630501 3689920 3578191 3768356 3797605 3693433
002166	PK20	0428815	14:15 - 15:45 TTH	3591774 3710991 3721962 3768197 3816554 3820588 3821069 3821166 3915054 3693789 3716638 3817962 3821440 3861339 3821197 3651605 3650239 3722926 3797620 3797718 3797716
